SuperWEB2(tm)

"General Household Survey 2018"
"Usage of piped or tapwater, Safe to drink, Treatment of drinking water, Water supply interruption, PROVINCES, Population group and Metro Code by Summation Options"
"Counting: Person information, Person Weight"

,,,,,,"Summation Options","Person information","Person Weight",
"Usage of piped or tapwater","Safe to drink","Treatment of drinking water","Water supply interruption","PROVINCES","Population group","Metro Code",
,,,,,,"NC-Non Metro",14,5094.1182106,
,,,,,,"FS-Non Metro",45,34636.7748562,
,,,,,,"FS-Mangaung",6,4698.5464188,
,,,,,,"KZN-Non Metro",375,283430.3178606,
,,,,,,"NW-Non Metro",111,94655.5390253,
,,,,,,"GP-City of Johannesburg",5,4022.700143,
,,,,,,"GP-City of Tswane",40,38800.8859723,
,,,,,,"MP-Non Metro",99,76794.5695858,
,,,,,,"LP-Non Metro",278,212841.5567162,
,,,,,"Coloured","WC-Non Metro",2,1100.1303589,
,,,,,,"NC-Non Metro",9,3115.8202958,
,,,,,,"FS-Non Metro",1,889.3281374,
,,,,,,"FS-Mangaung",4,5227.8511708,
,,,,,"Indian/Asian","FS-Non Metro",1,716.8673594,
,,,,,,"NW-Non Metro",2,2206.1213764,
,,,,,"White","NC-Non Metro",7,4552.7986286,
,,,,,,"FS-Non Metro",26,33421.5241766,
,,,,,,"FS-Mangaung",17,15007.3129522,
,,,,,,"KZN-Non Metro",6,7536.020244,
,,,,,,"NW-Non Metro",2,1658.5470466,
,,,,,,"GP-Non Metro",4,2841.0396056,
,,,"Unspecified","Free State","African/Black","FS-Non Metro",1,961.0009832,
,,,,,"White","FS-Non Metro",2,1859.3970253,
,,,,"Total","African/Black","FS-Non Metro",1,961.0009832,
,,,,,"White","FS-Non Metro",2,1859.3970253,
,,"Unspecified","No","North West","African/Black","NW-Non Metro",1,598.9366963,
,,,,"Total","African/Black","NW-Non Metro",1,598.9366963,
,,,"Not applicable","KwaZulu-Natal","African/Black","KZN-Non Metro",18,18508.5205459,
,,,,"North West","African/Black","NW-Non Metro",1,1430.0610127,
,,,,"Gauteng","White","GP-City of Tswane",2,3295.4830886,
,,,,"Mpumalanga","African/Black","MP-Non Metro",6,6171.849414,
,,,,"Limpopo","African/Black","LP-Non Metro",9,10427.2018119,
,,,,"Total","African/Black","KZN-Non Metro",18,18508.5205459,
,,,,,,"NW-Non Metro",1,1430.0610127,
,,,,,,"MP-Non Metro",6,6171.849414,
,,,,,,"LP-Non Metro",9,10427.2018119,
,,,,,"White","GP-City of Tswane",2,3295.4830886,
,"No","Yes, always","Yes","Gauteng","African/Black","GP-City of Tswane",4,3063.0246046,
,,,,"Mpumalanga","African/Black","MP-Non Metro",8,3911.181107,
