SuperWEB2(tm)

"General Household Survey 2018"
"Usage of piped or tapwater, Safe to drink, Treatment of drinking water, Water supply interruption, PROVINCES, Population group and Metro Code by Summation Options"
"Counting: Person information, Person Weight"

,,,,,,"Summation Options","Person information","Person Weight",
"Usage of piped or tapwater","Safe to drink","Treatment of drinking water","Water supply interruption","PROVINCES","Population group","Metro Code",
,,,,,"Coloured","KZN-Non Metro",22,15537.3790657,
,,,,,,"KZN-eThekwini",53,45221.0600333,
,,,,,"Indian/Asian","KZN-Non Metro",96,81120.4692351,
,,,,,,"KZN-eThekwini",420,497618.465379,
,,,,,"White","KZN-Non Metro",56,61201.594741,
,,,,,,"KZN-eThekwini",56,75053.7667608,
,,,,"North West","African/Black","NW-Non Metro",989,899941.6433872,
,,,,,"Coloured","NW-Non Metro",35,26235.4050364,
,,,,,"Indian/Asian","NW-Non Metro",8,5694.688711,
,,,,,"White","NW-Non Metro",95,102286.0320224,
,,,,"Gauteng","African/Black","GP-Non Metro",1352,1026690.404493,
,,,,,,"GP-Erkurhuleni",2522,2020859.0746419,
,,,,,,"GP-City of Johannesburg",2835,2763662.9125339,
,,,,,,"GP-City of Tswane",1500,1473293.0422075,
,,,,,"Coloured","GP-Non Metro",17,11580.9783386,
,,,,,,"GP-Erkurhuleni",90,60619.6033178,
,,,,,,"GP-City of Johannesburg",251,231377.7399195,
,,,,,,"GP-City of Tswane",20,25238.225245,
,,,,,"Indian/Asian","GP-Non Metro",56,46429.6476716,
,,,,,,"GP-Erkurhuleni",55,63497.8985089,
,,,,,,"GP-City of Johannesburg",71,105583.8473244,
,,,,,,"GP-City of Tswane",4,5149.6887776,
,,,,,"White","GP-Non Metro",194,197088.565961,
,,,,,,"GP-Erkurhuleni",317,410200.1599381,
,,,,,,"GP-City of Johannesburg",148,244014.5986033,
,,,,,,"GP-City of Tswane",146,235793.274414,
,,,,"Mpumalanga","African/Black","MP-Non Metro",768,559483.3285049,
,,,,,"Coloured","MP-Non Metro",13,10065.6440274,
,,,,,"Indian/Asian","MP-Non Metro",6,5727.1585198,
,,,,,"White","MP-Non Metro",68,74472.12382,
,,,,"Limpopo","African/Black","LP-Non Metro",752,538189.9065754,
,,,,,"Coloured","LP-Non Metro",16,15195.836209,
,,,,,"Indian/Asian","LP-Non Metro",10,11802.1366685,
,,,,,"White","LP-Non Metro",37,29323.2096915,
,,,,"Total","African/Black","WC-Non Metro",373,445201.326899,
,,,,,,"WC-City of Capet own",1458,1284639.6211356,
,,,,,,"EC-Non Metro",600,394458.1727412,
,,,,,,"EC-Buffalo City",410,275239.0261689,
,,,,,,"EC-Nelson Mandela Bay",233,180035.2931714,
,,,,,,"NC-Non Metro",198,78780.159751,
,,,,,,"FS-Non Metro",995,682033.8291954,
,,,,,,"FS-Mangaung",411,281520.2620746,
,,,,,,"KZN-Non Metro",1311,1041699.2341257,
,,,,,,"KZN-eThekwini",2274,2092033.9983673,
,,,,,,"NW-Non Metro",989,899941.6433872,
,,,,,,"GP-Non Metro",1352,1026690.404493,
,,,,,,"GP-Erkurhuleni",2522,2020859.0746419,
,,,,,,"GP-City of Johannesburg",2835,2763662.9125339,
,,,,,,"GP-City of Tswane",1500,1473293.0422075,
,,,,,,"MP-Non Metro",768,559483.3285049,
,,,,,,"LP-Non Metro",752,538189.9065754,
,,,,,"Coloured","WC-Non Metro",990,1032485.8521751,
,,,,,,"WC-City of Capet own",1217,984653.9411708,
,,,,,,"EC-Non Metro",114,91287.9783222,
,,,,,,"EC-Buffalo City",63,36285.6585915,
,,,,,,"EC-Nelson Mandela Bay",273,191844.3014495,
,,,,,,"NC-Non Metro",549,203214.0339554,
,,,,,,"FS-Non Metro",39,28740.719906,
,,,,,,"FS-Mangaung",5,2149.2501084,
,,,,,,"KZN-Non Metro",22,15537.3790657,
,,,,,,"KZN-eThekwini",53,45221.0600333,
,,,,,,"NW-Non Metro",35,26235.4050364,
,,,,,,"GP-Non Metro",17,11580.9783386,
,,,,,,"GP-Erkurhuleni",90,60619.6033178,
,,,,,,"GP-City of Johannesburg",251,231377.7399195,
,,,,,,"GP-City of Tswane",20,25238.225245,
,,,,,,"MP-Non Metro",13,10065.6440274,
,,,,,,"LP-Non Metro",16,15195.836209,
,,,,,"Indian/Asian","WC-City of Capet own",24,30447.545988,
,,,,,,"NC-Non Metro",3,1806.2551318,
,,,,,,"FS-Non Metro",2,2818.2231396,
,,,,,,"KZN-Non Metro",96,81120.4692351,
,,,,,,"KZN-eThekwini",420,497618.465379,
,,,,,,"NW-Non Metro",8,5694.688711,
,,,,,,"GP-Non Metro",56,46429.6476716,
,,,,,,"GP-Erkurhuleni",55,63497.8985089,
,,,,,,"GP-City of Johannesburg",71,105583.8473244,
,,,,,,"GP-City of Tswane",4,5149.6887776,
,,,,,,"MP-Non Metro",6,5727.1585198,
,,,,,,"LP-Non Metro",10,11802.1366685,
,,,,,"White","WC-Non Metro",172,228273.4942585,
,,,,,,"WC-City of Capet own",355,397395.8046384,
,,,,,,"EC-Non Metro",19,14975.638861,
,,,,,,"EC-Buffalo City",34,34698.1504299,
,,,,,,"EC-Nelson Mandela Bay",52,45224.3802672,
,,,,,,"NC-Non Metro",44,21863.2055163,
,,,,,,"FS-Non Metro",37,37574.9824618,
,,,,,,"FS-Mangaung",14,17191.4658967,
,,,,,,"KZN-Non Metro",56,61201.594741,
,,,,,,"KZN-eThekwini",56,75053.7667608,
,,,,,,"NW-Non Metro",95,102286.0320224,
,,,,,,"GP-Non Metro",194,197088.565961,
,,,,,,"GP-Erkurhuleni",317,410200.1599381,
,,,,,,"GP-City of Johannesburg",148,244014.5986033,
,,,,,,"GP-City of Tswane",146,235793.274414,
,,,,,,"MP-Non Metro",68,74472.12382,
,,,,,,"LP-Non Metro",37,29323.2096915,
,,,"Not applicable","Western Cape","African/Black","WC-Non Metro",24,30760.9881003,
,,,,,,"WC-City of Capet own",33,25495.7703369,
,,,,,"Coloured","WC-Non Metro",149,195703.2173792,
,,,,,,"WC-City of Capet own",6,6818.381769,
,,,,,"White","WC-Non Metro",33,30076.351262,
,,,,"Eastern Cape","African/Black","EC-Non Metro",1184,795479.6729956,
,,,,,,"EC-Buffalo City",14,14072.4929469,
,,,,,"Coloured","EC-Non Metro",31,33536.2949609,
,,,,,"Indian/Asian","EC-Non Metro",2,2336.3647258,
,,,,,"White","EC-Non Metro",9,9899.2319088,
,,,,,,"EC-Buffalo City",1,1178.2010925,
,,,,"Northern Cape","African/Black","NC-Non Metro",91,29973.2639949,
,,,,,"Coloured","NC-Non Metro",35,11756.3950021,
,,,,,"White","NC-Non Metro",9,4253.7739244,
,,,,"Free State","African/Black","FS-Non Metro",103,77316.8346876,
,,,,,,"FS-Mangaung",15,10634.2155621,
,,,,,"White","FS-Non Metro",6,4425.7284508,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",1101,932753.9434444,
,,,,,,"KZN-eThekwini",32,19856.3514475,
,,,,,"Coloured","KZN-Non Metro",10,8492.5206334,
,,,,,"Indian/Asian","KZN-Non Metro",4,6144.7123776,
,,,,,,"KZN-eThekwini",6,9748.3176366,
,,,,,"White","KZN-Non Metro",8,5678.2109793,
,,,,"North West","African/Black","NW-Non Metro",994,892543.7159604,
,,,,,"Coloured","NW-Non Metro",5,3417.8566741,
,,,,,"White","NW-Non Metro",21,26350.0447875,
,,,,"Gauteng","African/Black","GP-Non Metro",32,37228.0396782,
,,,,,,"GP-Erkurhuleni",18,12595.0845325,
,,,,,,"GP-City of Johannesburg",144,157448.1444499,
,,,,,,"GP-City of Tswane",432,389093.794957,
,,,,,"Coloured","GP-City of Tswane",4,3825.5901716,
,,,,,"Indian/Asian","GP-City of Tswane",5,14362.4673505,
,,,,,"White","GP-Non Metro",14,10902.4101776,
,,,,,,"GP-City of Johannesburg",9,12955.3764194,
,,,,,,"GP-City of Tswane",30,60806.6809805,
,,,,"Mpumalanga","African/Black","MP-Non Metro",456,282941.4152957,
,,,,,"White","MP-Non Metro",45,39298.3421698,
,,,,"Limpopo","African/Black","LP-Non Metro",1636,1101460.6297801,
,,,,,"Coloured","LP-Non Metro",5,5200.342324,
,,,,,"White","LP-Non Metro",33,26468.4906808,
,,,,"Total","African/Black","WC-Non Metro",24,30760.9881003,
,,,,,,"WC-City of Capet own",33,25495.7703369,
,,,,,,"EC-Non Metro",1184,795479.6729956,
,,,,,,"EC-Buffalo City",14,14072.4929469,
,,,,,,"NC-Non Metro",91,29973.2639949,
,,,,,,"FS-Non Metro",103,77316.8346876,
,,,,,,"FS-Mangaung",15,10634.2155621,
,,,,,,"KZN-Non Metro",1101,932753.9434444,
,,,,,,"KZN-eThekwini",32,19856.3514475,
,,,,,,"NW-Non Metro",994,892543.7159604,
,,,,,,"GP-Non Metro",32,37228.0396782,
,,,,,,"GP-Erkurhuleni",18,12595.0845325,
,,,,,,"GP-City of Johannesburg",144,157448.1444499,
,,,,,,"GP-City of Tswane",432,389093.794957,
,,,,,,"MP-Non Metro",456,282941.4152957,
,,,,,,"LP-Non Metro",1636,1101460.6297801,
,,,,,"Coloured","WC-Non Metro",149,195703.2173792,
,,,,,,"WC-City of Capet own",6,6818.381769,
,,,,,,"EC-Non Metro",31,33536.2949609,
,,,,,,"NC-Non Metro",35,11756.3950021,
,,,,,,"KZN-Non Metro",10,8492.5206334,
,,,,,,"NW-Non Metro",5,3417.8566741,
,,,,,,"GP-City of Tswane",4,3825.5901716,
,,,,,,"LP-Non Metro",5,5200.342324,
,,,,,"Indian/Asian","EC-Non Metro",2,2336.3647258,
,,,,,,"KZN-Non Metro",4,6144.7123776,
,,,,,,"KZN-eThekwini",6,9748.3176366,
,,,,,,"GP-City of Tswane",5,14362.4673505,
,,,,,"White","WC-Non Metro",33,30076.351262,
,,,,,,"EC-Non Metro",9,9899.2319088,
,,,,,,"EC-Buffalo City",1,1178.2010925,
,,,,,,"NC-Non Metro",9,4253.7739244,
,,,,,,"FS-Non Metro",6,4425.7284508,
,,,,,,"KZN-Non Metro",8,5678.2109793,
,,,,,,"NW-Non Metro",21,26350.0447875,
,,,,,,"GP-Non Metro",14,10902.4101776,
,,,,,,"GP-City of Johannesburg",9,12955.3764194,
,,,,,,"GP-City of Tswane",30,60806.6809805,
,,,,,,"MP-Non Metro",45,39298.3421698,
,,,,,,"LP-Non Metro",33,26468.4906808,
,,,"Unspecified","Eastern Cape","African/Black","EC-Non Metro",5,4506.2077561,
,,,,"Free State","African/Black","FS-Non Metro",1,289.0011905,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",47,35908.9754904,
,,,,"North West","African/Black","NW-Non Metro",5,2874.6804739,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",1,630.9962529,
,,,,,,"GP-City of Johannesburg",13,12258.7010739,
,,,,,,"GP-City of Tswane",2,1192.8289594,
,,,,,"White","GP-City of Johannesburg",1,685.4450126,
,,,,"Mpumalanga","African/Black","MP-Non Metro",2,1401.0774057,
,,,,"Limpopo","African/Black","LP-Non Metro",33,22654.3244845,
,,,,"Total","African/Black","EC-Non Metro",5,4506.2077561,
,,,,,,"FS-Non Metro",1,289.0011905,
,,,,,,"KZN-Non Metro",47,35908.9754904,
,,,,,,"NW-Non Metro",5,2874.6804739,
,,,,,,"GP-Erkurhuleni",1,630.9962529,
,,,,,,"GP-City of Johannesburg",13,12258.7010739,
,,,,,,"GP-City of Tswane",2,1192.8289594,
,,,,,,"MP-Non Metro",2,1401.0774057,
,,,,,,"LP-Non Metro",33,22654.3244845,
,,,,,"White","GP-City of Johannesburg",1,685.4450126,
,,"Unspecified","Yes","Western Cape","African/Black","WC-City of Capet own",5,5469.033354,
,,,,"Eastern Cape","African/Black","EC-Non Metro",10,9510.6718865,
,,,,"Northern Cape","African/Black","NC-Non Metro",14,5028.619818,
,,,,,"Coloured","NC-Non Metro",4,1426.8248344,
,,,,"Free State","African/Black","FS-Mangaung",11,6030.6676876,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",56,61103.1339459,
,,,,,,"KZN-eThekwini",10,12242.2604578,
,,,,,"Indian/Asian","KZN-eThekwini",7,8682.0467989,
,,,,"North West","African/Black","NW-Non Metro",25,25625.0076819,
,,,,,"Coloured","NW-Non Metro",1,807.2985866,
,,,,"Gauteng","African/Black","GP-Non Metro",10,8696.481174,
,,,,,,"GP-Erkurhuleni",4,2937.3675745,
,,,,,,"GP-City of Johannesburg",10,10660.164695,
,,,,,"White","GP-City of Johannesburg",2,2923.5404018,
,,,,,,"GP-City of Tswane",1,1872.7798033,
,,,,"Mpumalanga","African/Black","MP-Non Metro",54,37976.3066749,
,,,,"Limpopo","African/Black","LP-Non Metro",35,26495.1513409,
,,,,"Total","African/Black","WC-City of Capet own",5,5469.033354,
,,,,,,"EC-Non Metro",10,9510.6718865,
,,,,,,"NC-Non Metro",14,5028.619818,
,,,,,,"FS-Mangaung",11,6030.6676876,
,,,,,,"KZN-Non Metro",56,61103.1339459,
,,,,,,"KZN-eThekwini",10,12242.2604578,
,,,,,,"NW-Non Metro",25,25625.0076819,
,,,,,,"GP-Non Metro",10,8696.481174,
,,,,,,"GP-Erkurhuleni",4,2937.3675745,
,,,,,,"GP-City of Johannesburg",10,10660.164695,
,,,,,,"MP-Non Metro",54,37976.3066749,
,,,,,,"LP-Non Metro",35,26495.1513409,
,,,,,"Coloured","NC-Non Metro",4,1426.8248344,
,,,,,,"NW-Non Metro",1,807.2985866,
,,,,,"Indian/Asian","KZN-eThekwini",7,8682.0467989,
,,,,,"White","GP-City of Johannesburg",2,2923.5404018,
,,,,,,"GP-City of Tswane",1,1872.7798033,
,,,"No","Western Cape","African/Black","WC-City of Capet own",7,9380.7978854,
,,,,,"Coloured","WC-Non Metro",12,11011.5341593,
,,,,,,"WC-City of Capet own",3,2446.5294931,
,,,,,"White","WC-City of Capet own",5,4901.2465068,
,,,,"Eastern Cape","African/Black","EC-Non Metro",15,8101.0692157,
,,,,,"White","EC-Non Metro",3,1434.140844,
,,,,"Northern Cape","Coloured","NC-Non Metro",7,1578.1544105,
,,,,"Free State","African/Black","FS-Mangaung",2,1797.4917164,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",19,15080.3082104,
,,,,,,"KZN-eThekwini",8,9676.8128248,
,,,,,"Indian/Asian","KZN-eThekwini",8,6836.7808858,
,,,,"North West","African/Black","NW-Non Metro",19,17845.9189875,
,,,,"Gauteng","African/Black","GP-Non Metro",3,2111.731283,
,,,,,,"GP-Erkurhuleni",51,43812.2589263,
,,,,,,"GP-City of Johannesburg",37,34609.7991586,
,,,,,,"GP-City of Tswane",36,22178.0414784,
,,,,,"Coloured","GP-City of Johannesburg",6,3040.154735,
,,,,,"White","GP-Erkurhuleni",2,4437.9533392,
,,,,,,"GP-City of Tswane",2,3093.5202379,
,,,,"Mpumalanga","African/Black","MP-Non Metro",15,8385.0198852,
,,,,,"White","MP-Non Metro",5,5613.1310011,
,,,,"Limpopo","African/Black","LP-Non Metro",12,7351.0969037,
,,,,"Total","African/Black","WC-City of Capet own",7,9380.7978854,
,,,,,,"EC-Non Metro",15,8101.0692157,
,,,,,,"FS-Mangaung",2,1797.4917164,
,,,,,,"KZN-Non Metro",19,15080.3082104,
,,,,,,"KZN-eThekwini",8,9676.8128248,
,,,,,,"NW-Non Metro",19,17845.9189875,
,,,,,,"GP-Non Metro",3,2111.731283,
,,,,,,"GP-Erkurhuleni",51,43812.2589263,
,,,,,,"GP-City of Johannesburg",37,34609.7991586,
,,,,,,"GP-City of Tswane",36,22178.0414784,
,,,,,,"MP-Non Metro",15,8385.0198852,
,,,,,,"LP-Non Metro",12,7351.0969037,
,,,,,"Coloured","WC-Non Metro",12,11011.5341593,
,,,,,,"WC-City of Capet own",3,2446.5294931,
,,,,,,"NC-Non Metro",7,1578.1544105,
,,,,,,"GP-City of Johannesburg",6,3040.154735,
,,,,,"Indian/Asian","KZN-eThekwini",8,6836.7808858,
,,,,,"White","WC-City of Capet own",5,4901.2465068,
,,,,,,"EC-Non Metro",3,1434.140844,
,,,,,,"GP-Erkurhuleni",2,4437.9533392,
,,,,,,"GP-City of Tswane",2,3093.5202379,
,,,,,,"MP-Non Metro",5,5613.1310011,
,,,"Not applicable","Western Cape","Coloured","WC-Non Metro",5,7288.737726,
,,,,"Eastern Cape","African/Black","EC-Non Metro",26,17761.1887254,
,,,,,"White","EC-Non Metro",2,1550.3752297,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",3,1319.5090742,
,,,,"North West","African/Black","NW-Non Metro",14,17803.7636762,
,,,,"Gauteng","African/Black","GP-Non Metro",1,614.5001498,
,,,,,"White","GP-City of Johannesburg",4,4851.0275988,
,,,,"Mpumalanga","African/Black","MP-Non Metro",11,7232.9145171,
,,,,"Limpopo","African/Black","LP-Non Metro",28,15687.3641304,
,,,,"Total","African/Black","EC-Non Metro",26,17761.1887254,
,,,,,,"KZN-Non Metro",3,1319.5090742,
,,,,,,"NW-Non Metro",14,17803.7636762,
,,,,,,"GP-Non Metro",1,614.5001498,
,,,,,,"MP-Non Metro",11,7232.9145171,
,,,,,,"LP-Non Metro",28,15687.3641304,
,,,,,"Coloured","WC-Non Metro",5,7288.737726,
,,,,,"White","EC-Non Metro",2,1550.3752297,
,,,,,,"GP-City of Johannesburg",4,4851.0275988,
,,,"Unspecified","Mpumalanga","African/Black","MP-Non Metro",1,467.9159903,
,,,,"Total","African/Black","MP-Non Metro",1,467.9159903,
,"No","Yes, always","Yes","Western Cape","African/Black","WC-Non Metro",4,4486.5886031,
,,,,,,"WC-City of Capet own",3,3368.0952547,
,,,,,"Coloured","WC-Non Metro",9,6847.5500764,
,,,,,,"WC-City of Capet own",40,32605.8998521,
,,,,,"Indian/Asian","WC-City of Capet own",4,3204.2083055,
,,,,,"White","WC-Non Metro",11,10796.0958035,
,,,,,,"WC-City of Capet own",6,7524.6579855,
,,,,"Eastern Cape","African/Black","EC-Non Metro",14,9169.487718,
,,,,,"Coloured","EC-Non Metro",8,3135.3702416,
,,,,,,"EC-Nelson Mandela Bay",3,1247.6737242,
,,,,,"White","EC-Nelson Mandela Bay",6,5382.7172181,
,,,,"Northern Cape","African/Black","NC-Non Metro",83,26278.9264725,
,,,,,"Coloured","NC-Non Metro",33,9177.742202,
,,,,,"Indian/Asian","NC-Non Metro",3,706.6227219,
,,,,,"White","NC-Non Metro",6,2179.7713881,
,,,,"Free State","African/Black","FS-Non Metro",52,37649.3363388,
,,,,,,"FS-Mangaung",14,10483.3927831,
,,,,,"Coloured","FS-Non Metro",3,2392.9400719,
,,,,,"Indian/Asian","FS-Non Metro",2,1682.3503701,
,,,,,"White","FS-Non Metro",3,1472.226343,
,,,,,,"FS-Mangaung",6,5457.9148986,
,,,,"KwaZulu-Natal","Indian/Asian","KZN-eThekwini",1,405.5715851,
,,,,"North West","African/Black","NW-Non Metro",35,33405.0342508,
,,,,,"Coloured","NW-Non Metro",9,8861.4694833,
,,,,,"White","NW-Non Metro",5,4566.4222046,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",1,1121.4403869,
,,,,,,"GP-City of Tswane",12,11345.7291864,
,,,,,"Indian/Asian","GP-City of Johannesburg",5,6140.5097965,
,,,,,"White","GP-Non Metro",5,4760.5477212,
,,,,,,"GP-Erkurhuleni",3,3364.3211607,
,,,,,,"GP-City of Johannesburg",2,1701.6838054,
,,,,,,"GP-City of Tswane",6,12149.8335865,
,,,,"Mpumalanga","African/Black","MP-Non Metro",193,160440.502189,
,,,,,"Coloured","MP-Non Metro",4,3660.0966968,
,,,,,"Indian/Asian","MP-Non Metro",4,983.1314742,
,,,,,"White","MP-Non Metro",15,12489.4214182,
,,,,"Total","African/Black","WC-Non Metro",4,4486.5886031,
,,,,,,"WC-City of Capet own",3,3368.0952547,
,,,,,,"EC-Non Metro",14,9169.487718,
,,,,,,"NC-Non Metro",83,26278.9264725,
,,,,,,"FS-Non Metro",52,37649.3363388,
,,,,,,"FS-Mangaung",14,10483.3927831,
,,,,,,"NW-Non Metro",35,33405.0342508,
,,,,,,"GP-Erkurhuleni",1,1121.4403869,
,,,,,,"GP-City of Tswane",12,11345.7291864,
,,,,,,"MP-Non Metro",193,160440.502189,
,,,,,"Coloured","WC-Non Metro",9,6847.5500764,
,,,,,,"WC-City of Capet own",40,32605.8998521,
,,,,,,"EC-Non Metro",8,3135.3702416,
,,,,,,"EC-Nelson Mandela Bay",3,1247.6737242,
,,,,,,"NC-Non Metro",33,9177.742202,
,,,,,,"FS-Non Metro",3,2392.9400719,
,,,,,,"NW-Non Metro",9,8861.4694833,
,,,,,,"MP-Non Metro",4,3660.0966968,
,,,,,"Indian/Asian","WC-City of Capet own",4,3204.2083055,
,,,,,,"NC-Non Metro",3,706.6227219,
,,,,,,"FS-Non Metro",2,1682.3503701,
,,,,,,"KZN-eThekwini",1,405.5715851,
,,,,,,"GP-City of Johannesburg",5,6140.5097965,
,,,,,,"MP-Non Metro",4,983.1314742,
,,,,,"White","WC-Non Metro",11,10796.0958035,
,,,,,,"WC-City of Capet own",6,7524.6579855,
,,,,,,"EC-Nelson Mandela Bay",6,5382.7172181,
,,,,,,"NC-Non Metro",6,2179.7713881,
,,,,,,"FS-Non Metro",3,1472.226343,
,,,,,,"FS-Mangaung",6,5457.9148986,
,,,,,,"NW-Non Metro",5,4566.4222046,
,,,,,,"GP-Non Metro",5,4760.5477212,
,,,,,,"GP-Erkurhuleni",3,3364.3211607,
,,,,,,"GP-City of Johannesburg",2,1701.6838054,
,,,,,,"GP-City of Tswane",6,12149.8335865,
,,,,,,"MP-Non Metro",15,12489.4214182,
,,,"No","Western Cape","African/Black","WC-Non Metro",2,956.23703,
,,,,,,"WC-City of Capet own",28,29980.0322861,
,,,,,"Coloured","WC-Non Metro",26,24731.8831749,
,,,,,,"WC-City of Capet own",110,79431.3734104,
,,,,,"Indian/Asian","WC-City of Capet own",4,5688.8725616,
,,,,,"White","WC-Non Metro",19,20166.2559617,
,,,,,,"WC-City of Capet own",25,24823.8860754,
,,,,"Eastern Cape","African/Black","EC-Nelson Mandela Bay",12,8812.6315991,
,,,,,"Coloured","EC-Nelson Mandela Bay",68,49566.4756524,
,,,,,"White","EC-Buffalo City",4,3491.5493722,
,,,,,,"EC-Nelson Mandela Bay",70,73738.6535335,
,,,,"Northern Cape","African/Black","NC-Non Metro",3,922.4271157,
,,,,,"Coloured","NC-Non Metro",8,3914.2462972,
,,,,,"White","NC-Non Metro",1,293.074019,
,,,,"Free State","African/Black","FS-Non Metro",82,54691.1242841,
,,,,,,"FS-Mangaung",6,5349.3085486,
,,,,"KwaZulu-Natal","Indian/Asian","KZN-eThekwini",5,11631.5715545,
,,,,"North West","African/Black","NW-Non Metro",17,14585.4831109,
,,,,,"White","NW-Non Metro",4,3529.0697338,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",4,4589.5180452,
,,,,,,"GP-City of Tswane",5,6052.311792,
,,,,,"White","GP-Erkurhuleni",8,8448.4726241,
,,,,"Mpumalanga","African/Black","MP-Non Metro",21,17764.7512458,
,,,,,"White","MP-Non Metro",12,14078.558316,
,,,,"Total","African/Black","WC-Non Metro",2,956.23703,
,,,,,,"WC-City of Capet own",28,29980.0322861,
,,,,,,"EC-Nelson Mandela Bay",12,8812.6315991,
,,,,,,"NC-Non Metro",3,922.4271157,
,,,,,,"FS-Non Metro",82,54691.1242841,
,,,,,,"FS-Mangaung",6,5349.3085486,
,,,,,,"NW-Non Metro",17,14585.4831109,
,,,,,,"GP-City of Johannesburg",4,4589.5180452,
,,,,,,"GP-City of Tswane",5,6052.311792,
,,,,,,"MP-Non Metro",21,17764.7512458,
,,,,,"Coloured","WC-Non Metro",26,24731.8831749,
,,,,,,"WC-City of Capet own",110,79431.3734104,
,,,,,,"EC-Nelson Mandela Bay",68,49566.4756524,
,,,,,,"NC-Non Metro",8,3914.2462972,
,,,,,"Indian/Asian","WC-City of Capet own",4,5688.8725616,
,,,,,,"KZN-eThekwini",5,11631.5715545,
,,,,,"White","WC-Non Metro",19,20166.2559617,
,,,,,,"WC-City of Capet own",25,24823.8860754,
,,,,,,"EC-Buffalo City",4,3491.5493722,
,,,,,,"EC-Nelson Mandela Bay",70,73738.6535335,
,,,,,,"NC-Non Metro",1,293.074019,
,,,,,,"NW-Non Metro",4,3529.0697338,
,,,,,,"GP-Erkurhuleni",8,8448.4726241,
,,,,,,"MP-Non Metro",12,14078.558316,
,,,"Not applicable","Western Cape","Coloured","WC-Non Metro",6,7523.1717443,
,,,,,"White","WC-Non Metro",4,6198.3233508,
,,,,,,"WC-City of Capet own",5,5437.1142955,
,,,,"Northern Cape","African/Black","NC-Non Metro",2,998.4951252,
,,,,,"White","NC-Non Metro",10,4129.1210122,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",2,1465.1438238,
,,,,,"White","KZN-Non Metro",2,1064.5440806,
,,,,"North West","African/Black","NW-Non Metro",7,5743.333419,
,,,,"Gauteng","African/Black","GP-City of Tswane",32,30055.8897315,
,,,,"Mpumalanga","African/Black","MP-Non Metro",4,2716.2371095,
,,,,"Limpopo","African/Black","LP-Non Metro",3,1616.2372928,
,,,,"Total","African/Black","NC-Non Metro",2,998.4951252,
,,,,,,"KZN-Non Metro",2,1465.1438238,
,,,,,,"NW-Non Metro",7,5743.333419,
,,,,,,"GP-City of Tswane",32,30055.8897315,
,,,,,,"MP-Non Metro",4,2716.2371095,
,,,,,,"LP-Non Metro",3,1616.2372928,
,,,,,"Coloured","WC-Non Metro",6,7523.1717443,
,,,,,"White","WC-Non Metro",4,6198.3233508,
,,,,,,"WC-City of Capet own",5,5437.1142955,
,,,,,,"NC-Non Metro",10,4129.1210122,
,,,,,,"KZN-Non Metro",2,1064.5440806,
,,"Yes, sometimes","Yes","Western Cape","African/Black","WC-City of Capet own",6,5445.0714467,
,,,,,"Coloured","WC-Non Metro",9,5934.752754,
,,,,,,"WC-City of Capet own",14,12158.6840643,
,,,,"Eastern Cape","African/Black","EC-Non Metro",3,1612.4525674,
,,,,,,"EC-Nelson Mandela Bay",6,4622.5230061,
,,,,,"Coloured","EC-Nelson Mandela Bay",3,2329.7112753,
,,,,,"White","EC-Nelson Mandela Bay",2,1838.954524,
,,,,"Northern Cape","African/Black","NC-Non Metro",98,35875.6075421,
,,,,,"Coloured","NC-Non Metro",48,20395.4574013,
,,,,"Free State","African/Black","FS-Non Metro",96,64807.2136965,
,,,,,"Coloured","FS-Non Metro",4,2632.0768927,
,,,,,"Indian/Asian","FS-Non Metro",1,837.5546075,
,,,,,"White","FS-Non Metro",5,3590.7119159,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",1,835.9753588,
,,,,,,"KZN-eThekwini",6,6727.660812,
,,,,"North West","African/Black","NW-Non Metro",46,39230.2024893,
,,,,,"White","NW-Non Metro",1,821.1874734,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",9,12901.9114751,
,,,,,,"GP-City of Tswane",42,36470.4301516,
,,,,"Mpumalanga","African/Black","MP-Non Metro",89,67379.350136,
,,,,,"White","MP-Non Metro",7,6494.1747467,
,,,,"Limpopo","African/Black","LP-Non Metro",9,6422.9154076,
,,,,,"White","LP-Non Metro",3,3042.4320099,
,,,,"Total","African/Black","WC-City of Capet own",6,5445.0714467,
,,,,,,"EC-Non Metro",3,1612.4525674,
,,,,,,"EC-Nelson Mandela Bay",6,4622.5230061,
,,,,,,"NC-Non Metro",98,35875.6075421,
,,,,,,"FS-Non Metro",96,64807.2136965,
,,,,,,"KZN-Non Metro",1,835.9753588,
,,,,,,"KZN-eThekwini",6,6727.660812,
,,,,,,"NW-Non Metro",46,39230.2024893,
,,,,,,"GP-City of Johannesburg",9,12901.9114751,
,,,,,,"GP-City of Tswane",42,36470.4301516,
